,mouse_name,session_name,num_probes,probe_locations,brain_regions,num_units,num_trials,num_trials_opto,opto_types,opto_onset
0,../000363/sub-440956,../000363/sub-440956/sub-440956_ses-20190207T120657_behavior+ecephys+ogen.nwb,4,"['left ALM', 'right ALM', 'right Striatum', 'left Striatum']","['Orbital area, lateral part, layer 2/3'
 'Orbital area, lateral part, layer 5'
 'Orbital area, ventrolateral part, layer 5'
 'Orbital area, ventrolateral part, layer 6a'
 'Orbital area, lateral part, layer 6a' 'Frontal pole, layer 6a'
 'Secondary motor area, layer 6a' 'Secondary motor area, layer 5'
 'Secondary motor area, layer 2/3'
 'Agranular insular area, dorsal part, layer 6a'
 'Secondary motor area, layer 1' 'Pallidum' 'Striatum' 'Caudoputamen'
 'Primary motor area, Layer 6a' 'Primary motor area, Layer 5'
 'Primary motor area, Layer 2/3'
 'Primary somatosensory area, upper limb, layer 6a'
 'Primary somatosensory area, upper limb, layer 5'
 'Primary somatosensory area, upper limb, layer 4'
 'Primary somatosensory area, upper limb, layer 2/3'
 'Primary somatosensory area, upper limb, layer 6b']",459,"outcome  trial_instruction
hit      left                 48
         right                68
ignore   left                  5
         right                40
miss     left                 45
         right                55
Name: trial, dtype: int64","outcome  trial_instruction
hit      left                 22
         right                12
ignore   left                  2
         right                11
miss     left                  7
         right                21
Name: trial, dtype: int64","['OBIS470_4', 'OBIS470_6']",4.533333332119582e-05
1,../000363/sub-440956,../000363/sub-440956/sub-440956_ses-20190208T133600_behavior+ecephys+ogen.nwb,4,"['left ALM', 'right Striatum', 'right ALM', 'left Striatum']","['Orbital area, ventrolateral part, layer 5'
 'Orbital area, medial part, layer 5'
 'Orbital area, medial part, layer 6a' 'Prelimbic area, layer 6a'
 'Secondary motor area, layer 5' 'Secondary motor area, layer 2/3'
 'Orbital area, lateral part, layer 5'
 'Orbital area, lateral part, layer 6a'
 'Orbital area, ventrolateral part, layer 6a' 'Frontal pole, layer 6a'
 'Secondary motor area, layer 6a' 'Secondary motor area, layer 1'
 'Caudoputamen' 'Primary somatosensory area, upper limb, layer 6a'
 'Primary somatosensory area, upper limb, layer 5'
 'Primary somatosensory area, lower limb, layer 5'
 'Primary motor area, Layer 6b' 'Bed nuclei of the stria terminalis'
 'Pallidum' 'Striatum' 'Primary motor area, Layer 6a'
 'Primary motor area, Layer 5' 'Primary motor area, Layer 2/3']",375,"outcome  trial_instruction
hit      left                 161
         right                151
ignore   right                  3
miss     left                  17
         right                  5
Name: trial, dtype: int64","outcome  trial_instruction
hit      left                 61
         right                54
ignore   right                 1
miss     left                  6
Name: trial, dtype: int64","['OBIS470_4', 'OBIS470_6']",2.1311475389809664e-05
2,../000363/sub-440956,../000363/sub-440956/sub-440956_ses-20190209T150135_behavior+ecephys+ogen.nwb,2,"['right Striatum', 'left Striatum']","['Globus pallidus, external segment' 'Striatum' 'Caudoputamen'
 'Primary somatosensory area, upper limb, layer 6a'
 'Primary somatosensory area, upper limb, layer 5'
 'Primary somatosensory area, lower limb, layer 5'
 'Primary somatosensory area, lower limb, layer 4'
 'Reticular nucleus of the thalamus'
 'Primary somatosensory area, upper limb, layer 6b']",205,"outcome  trial_instruction
hit      left                 188
         right                158
ignore   left                   6
         right                  6
miss     left                  26
         right                  1
Name: trial, dtype: int64","outcome  trial_instruction
hit      left                 75
         right                47
ignore   left                  1
miss     left                  4
         right                 2
Name: trial, dtype: int64","['OBIS470_4', 'OBIS470_6']",9.379844960670396e-05
3,../000363/sub-440956,../000363/sub-440956/sub-440956_ses-20190210T155629_behavior+ecephys+ogen.nwb,4,"['right ALM', 'left ALM', 'left Striatum', 'right Striatum']","['Orbital area, ventrolateral part, layer 5'
 'Orbital area, medial part, layer 5'
 'Orbital area, medial part, layer 6a' 'Prelimbic area, layer 6a'
 'Prelimbic area, layer 5' 'Anterior cingulate area, dorsal part, layer 5'
 'Secondary motor area, layer 5' 'Secondary motor area, layer 2/3'
 'Orbital area, lateral part, layer 2/3'
 'Orbital area, lateral part, layer 5'
 'Orbital area, ventrolateral part, layer 6a'
 'Orbital area, lateral part, layer 6a' 'Frontal pole, layer 6a'
 'Secondary motor area, layer 6a' 'Reticular nucleus of the thalamus'
 'Anteroventral nucleus of thalamus'
 'Primary somatosensory area, lower limb, layer 6a'
 'Primary somatosensory area, lower limb, layer 5'
 'Primary somatosensory area, lower limb, layer 4'
 'Globus pallidus, external segment' 'Striatum' 'Caudoputamen'
 'Primary somatosensory area, upper limb, layer 6a'
 'Primary somatosensory area, upper limb, layer 5'
 'Primary somatosensory area, upper limb, layer 4']",552,"outcome  trial_instruction
hit      left                 166
         right                197
ignore   left                   5
         right                 12
miss     left                  13
         right                 12
Name: trial, dtype: int64","outcome  trial_instruction
hit      left                 81
         right                72
ignore   left                  1
         right                 4
miss     left                  3
         right                 6
Name: trial, dtype: int64","['OBIS470_4', 'OBIS470_6']",8.023952097606459e-05
4,../000363/sub-440957,../000363/sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+ogen.nwb,4,"['right ALM', 'left ALM', 'left Striatum', 'right Striatum']","['Orbital area, lateral part, layer 2/3'
 'Orbital area, lateral part, layer 5'
 'Orbital area, lateral part, layer 6a' 'Frontal pole, layer 6a'
 'Secondary motor area, layer 6a' 'Secondary motor area, layer 5'
 'Secondary motor area, layer 2/3' 'Olfactory areas'
 'Secondary motor area, layer 1' 'Pallidum'
 'Globus pallidus, external segment' 'Caudoputamen'
 'Primary somatosensory area, upper limb, layer 6b'
 'Primary somatosensory area, upper limb, layer 6a'
 'Primary somatosensory area, upper limb, layer 5'
 'Primary somatosensory area, upper limb, layer 4' 'Striatum']",526,"outcome  trial_instruction
hit      left                 204
         right                156
ignore   left                   2
miss     left                  57
         right                 19
Name: trial, dtype: int64","outcome  trial_instruction
hit      left                 30
         right                34
miss     left                  7
         right                 5
Name: trial, dtype: int64",['OBIS470_5'],1.7105263146121568e-05
5,../000363/sub-440957,../000363/sub-440957/sub-440957_ses-20190212T153751_behavior+ecephys+ogen.nwb,4,"['right ALM', 'left ALM', 'left Striatum', 'right Striatum']","['Olfactory areas' 'Orbital area, ventrolateral part, layer 2/3'
 'Orbital area, ventrolateral part, layer 5'
 'Orbital area, ventrolateral part, layer 6a' 'Frontal pole, layer 6a'
 'Secondary motor area, layer 6a' 'Secondary motor area, layer 5'
 'Secondary motor area, layer 2/3' 'Secondary motor area, layer 1'
 'Prelimbic area, layer 6b' 'Prelimbic area, layer 6a' 'Striatum'
 'Caudoputamen' 'Primary motor area, Layer 6a'
 'Primary motor area, Layer 5' 'Primary motor area, Layer 2/3'
 'Primary somatosensory area, upper limb, layer 6b'
 'Primary somatosensory area, upper limb, layer 6a'
 'Primary somatosensory area, upper limb, layer 5']",505,"outcome  trial_instruction
hit      left                 219
         right                161
ignore   right                  1
miss     left                  33
         right                 16
Name: trial, dtype: int64","outcome  trial_instruction
hit      left                 40
         right                40
miss     left                  8
         right                 1
Name: trial, dtype: int64",['OBIS470_5'],6.404494380159337e-05
6,../000363/sub-440957,../000363/sub-440957/sub-440957_ses-20190213T145027_behavior+ecephys+ogen.nwb,3,"['right ALM', 'left Striatum', 'right Striatum']","['Dorsal peduncular area' 'Olfactory areas' 'Prelimbic area, layer 6b'
 'Prelimbic area, layer 6a'
 'Anterior cingulate area, dorsal part, layer 6a'
 'Secondary motor area, layer 6a' 'Secondary motor area, layer 5'
 'Secondary motor area, layer 2/3' 'Bed nuclei of the stria terminalis'
 'Striatum' 'Lateral septal nucleus, ventral part' 'Caudoputamen'
 'Primary motor area, Layer 6a' 'Primary motor area, Layer 5'
 'Primary motor area, Layer 2/3'
 'Lateral septal nucleus, rostral (rostroventral) part'
 'Globus pallidus, external segment'
 'Primary somatosensory area, upper limb, layer 4']",192,"outcome  trial_instruction
hit      left                 190
         right                161
ignore   right                  2
miss     left                  39
         right                 10
Name: trial, dtype: int64","outcome  trial_instruction
hit      left                 42
         right                32
ignore   left                  3
miss     left                  6
         right                 4
Name: trial, dtype: int64",['OBIS470_5'],4.367816091870339e-05
7,../000363/sub-440957,../000363/sub-440957/sub-440957_ses-20190214T144611_behavior+ecephys+ogen.nwb,3,"['left ALM', 'right ALM', 'right Striatum']","['Anterior olfactory nucleus' 'Olfactory areas'
 'Orbital area, ventrolateral part, layer 1'
 'Orbital area, ventrolateral part, layer 2/3'
 'Orbital area, lateral part, layer 5'
 'Orbital area, lateral part, layer 6a' 'Frontal pole, layer 5'
 'Secondary motor area, layer 5' 'Secondary motor area, layer 2/3'
 'Secondary motor area, layer 1' 'Caudoputamen'
 'Secondary motor area, layer 6a' 'Reticular nucleus of the thalamus'
 'Primary somatosensory area, upper limb, layer 6a'
 'Primary somatosensory area, upper limb, layer 5'
 'Primary somatosensory area, upper limb, layer 4'
 'Primary somatosensory area, lower limb, layer 4'
 'Primary somatosensory area, lower limb, layer 2/3']",169,"outcome  trial_instruction
hit      left                 227
         right                206
ignore   left                   1
         right                  1
miss     left                  29
         right                  6
Name: trial, dtype: int64","outcome  trial_instruction
hit      left                 82
         right                63
ignore   left                  1
         right                 2
miss     left                 13
         right                 8
Name: trial, dtype: int64","['OBIS470_4', 'OBIS470_6']",6.863905326310713e-05
8,../000363/sub-440958,../000363/sub-440958/sub-440958_ses-20190213T115547_behavior+ecephys+ogen.nwb,4,"['left ALM', 'right ALM', 'right Striatum', 'left Striatum']","['Orbital area, lateral part, layer 2/3'
 'Orbital area, lateral part, layer 5'
 'Orbital area, ventrolateral part, layer 6a' 'Frontal pole, layer 6a'
 'Secondary motor area, layer 6a' 'Secondary motor area, layer 5'
 'Secondary motor area, layer 2/3'
 'Orbital area, ventrolateral part, layer 5'
 'Orbital area, lateral part, layer 6a' 'Caudoputamen'
 'Primary motor area, Layer 6b' 'Primary motor area, Layer 6a'
 'Primary motor area, Layer 5'
 'Primary somatosensory area, lower limb, layer 4'
 'Primary somatosensory area, upper limb, layer 5'
 'Primary somatosensory area, upper limb, layer 4'
 'Primary somatosensory area, upper limb, layer 2/3']",347,"outcome  trial_instruction
hit      left                 179
         right                160
ignore   left                   2
         right                  5
miss     left                  43
         right                 41
Name: trial, dtype: int64","outcome  trial_instruction
hit      left                 34
         right                31
miss     left                  6
         right                 2
Name: trial, dtype: int64",['OBIS470_5'],4.794520545846204e-05
9,../000363/sub-440958,../000363/sub-440958/sub-440958_ses-20190214T123412_behavior+ecephys+ogen.nwb,4,"['right ALM', 'left ALM', 'left Striatum', 'right Striatum']","['Olfactory areas' 'Orbital area, ventrolateral part, layer 2/3'
 'Orbital area, ventrolateral part, layer 6a' 'Prelimbic area, layer 6a'
 'Secondary motor area, layer 5' 'Secondary motor area, layer 2/3'
 'Orbital area, ventrolateral part, layer 1'
 'Orbital area, ventrolateral part, layer 5' 'Frontal pole, layer 6a'
 'Secondary motor area, layer 1' 'Bed nuclei of the stria terminalis'
 'Lateral septal nucleus, ventral part' 'Primary motor area, Layer 6a'
 'Primary motor area, Layer 5' 'Primary motor area, Layer 2/3' 'Striatum'
 'Caudoputamen']",342,"outcome  trial_instruction
hit      left                 175
         right                164
ignore   left                   4
         right                  7
miss     left                  31
         right                 33
Name: trial, dtype: int64","outcome  trial_instruction
hit      left                 27
         right                27
ignore   right                 3
miss     left                  8
         right                15
Name: trial, dtype: int64",['OBIS470_5'],3.74999999934289e-05
